,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.9285714285714286,0.9800853485064012,0.9507735583684951,0.9709724238026125,0.9886845827439887,0.970310391363023,0.9638174683985852,0.9703418451397436
recall,0.9285714285714286,0.9800853485064012,0.9629629629629629,0.9516358463726885,0.9957264957264957,0.970310391363023,0.9637964164279953,0.970310391363023
f1-score,0.9285714285714286,0.9800853485064012,0.956829440905874,0.9612068965517241,0.9921930447125621,0.970310391363023,0.963777231849598,0.9702909018825924
support,154.0,703.0,702.0,703.0,702.0,0.970310391363023,2964.0,2964.0
