,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.7195121951219512,0.4500768049155146,0.5010460251046025,0.7624521072796935,0.6012145748987854,0.4866174264843524,0.5766692730028015
recall,0.0,0.5874822190611664,0.41737891737891736,0.6813655761024182,0.8504273504273504,0.6012145748987854,0.5073308125939705,0.6012145748987854
f1-score,0.0,0.6468285043069695,0.43311160384331115,0.5774562989752864,0.8040404040404041,0.6012145748987854,0.49228736223319414,0.5833849278818468
support,154.0,703.0,702.0,703.0,702.0,0.6012145748987854,2964.0,2964.0
