,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.979381443298969,0.9491978609625669,0.9378531073446328,0.9009146341463414,0.8834437086092716,0.9200404858299596,0.9301581508723563,0.9199282088565689
recall,0.95,0.9916201117318436,0.9273743016759777,0.8254189944134078,0.9315642458100558,0.9200404858299596,0.9251955307262569,0.9200404858299596
f1-score,0.9644670050761421,0.9699453551912569,0.9325842696629214,0.8615160349854227,0.9068660774983005,0.9200404858299596,0.9270757484828087,0.9193048260599027
support,100.0,716.0,716.0,716.0,716.0,0.9200404858299596,2964.0,2964.0
