,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.5376827896512936,0.39571150097465885,0.47671568627450983,0.6675603217158177,0.5290148448043185,0.415534059723256,0.49242204726874306
recall,0.0,0.6799431009957326,0.28917378917378916,0.5533428165007113,0.7094017094017094,0.5290148448043185,0.4463722832143885,0.5290148448043185
f1-score,0.0,0.6005025125628141,0.33415637860082303,0.5121790651744569,0.6878453038674034,0.5290148448043185,0.4269366520410995,0.5059582760600528
support,154.0,703.0,702.0,703.0,702.0,0.5290148448043185,2964.0,2964.0
