,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.2,0.897239263803681,0.6928374655647382,0.5850052798310454,0.7728706624605678,0.7196356275303644,0.6295905343320065,0.709090762499655
recall,0.006493506493506494,0.8321479374110953,0.7165242165242165,0.7880512091038406,0.698005698005698,0.7196356275303644,0.6082445135076713,0.7196356275303644
f1-score,0.012578616352201259,0.8634686346863468,0.7044817927170868,0.6715151515151515,0.7335329341317365,0.7196356275303644,0.5971154258805045,0.7053026473906093
support,154.0,703.0,702.0,703.0,702.0,0.7196356275303644,2964.0,2964.0
