,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.5338078291814946,0.32335329341317365,0.3923766816143498,0.6145251396648045,0.49190283400809715,0.37281258877476453,0.4418010698752427
recall,0.0,0.6401137980085349,0.15384615384615385,0.49786628733997157,0.7834757834757835,0.49190283400809715,0.41506040453408877,0.49190283400809715
f1-score,0.0,0.5821474773609314,0.2084942084942085,0.438871473354232,0.6887914840325611,0.49190283400809715,0.38366092864838663,0.45467978357171124
support,154.0,703.0,702.0,703.0,702.0,0.49190283400809715,2964.0,2964.0
