,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.375,0.8794326241134752,0.7306547619047619,0.5643153526970954,0.7691056910569106,0.7189608636977058,0.6637016859544486,0.7171176334942393
recall,0.01948051948051948,0.8819345661450925,0.6994301994301995,0.7738264580369844,0.6737891737891738,0.7189608636977058,0.609692183376394,0.7189608636977058
f1-score,0.037037037037037035,0.8806818181818182,0.7147016011644833,0.6526694661067787,0.718299164768413,0.7189608636977058,0.6006778174517061,0.7049987160065724
support,154.0,703.0,702.0,703.0,702.0,0.7189608636977058,2964.0,2964.0
