,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,1.0,0.9634831460674157,0.9194244604316547,0.9412607449856734,0.9900990099009901,0.956140350877193,0.9628534722771468,0.9559785531659373
recall,0.987012987012987,0.9758179231863442,0.9102564102564102,0.9345661450924608,0.9971509971509972,0.956140350877193,0.96096089253984,0.956140350877193
f1-score,0.9934640522875817,0.9696113074204946,0.9148174659985684,0.9379014989293362,0.9936124911284598,0.956140350877193,0.961881363152888,0.9560367060794173
support,154.0,703.0,702.0,703.0,702.0,0.956140350877193,2964.0,2964.0
