,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.9390243902439024,0.9658605974395448,0.9026425591098748,0.9539375928677564,0.9900709219858156,0.9520917678812416,0.9503072123293789,0.9523997124199624
recall,1.0,0.9658605974395448,0.9245014245014245,0.9132290184921764,0.9943019943019943,0.9520917678812416,0.959578606947028,0.9520917678812416
f1-score,0.9685534591194969,0.9658605974395448,0.9134412385643913,0.933139534883721,0.9921819474058279,0.9520917678812416,0.9546353554825965,0.9520586377458679
support,154.0,703.0,702.0,703.0,702.0,0.9520917678812416,2964.0,2964.0
