,0,1,2,accuracy,macro avg,weighted avg
precision,0.0,0.9159533073929961,0.8625525946704067,0.896448224112056,0.5928353006878009,0.8948331834233706
recall,0.0,0.9245875883739199,0.8518005540166205,0.896448224112056,0.5921293807968467,0.896448224112056
f1-score,0.0,0.9202501954652071,0.8571428571428571,0.896448224112056,0.5924643508693547,0.8956156286565041
support,4.0,1273.0,722.0,0.896448224112056,1999.0,1999.0
