,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.9743589743589743,0.9355670103092784,0.7656065959952886,0.8442367601246106,0.8343465045592705,0.8451417004048583,0.8708231690694845,0.8472598335192525
recall,1.0,0.9331619537275064,0.8354755784061697,0.6975546975546976,0.9258010118043845,0.8451417004048583,0.8783986482985515,0.8451417004048583
f1-score,0.9870129870129869,0.9343629343629344,0.7990165949600493,0.7639182522903453,0.8776978417266188,0.8451417004048583,0.872401722070587,0.8434936131893584
support,38.0,778.0,778.0,777.0,593.0,0.8451417004048583,2964.0,2964.0
