,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.7409381663113006,0.8990610328638498,0.7595505617977528,0.9859154929577465,0.8279352226720648,0.6770930507861299,0.8023269557987265
recall,0.0,0.9886201991465149,0.5455840455840456,0.9615931721194879,0.9971509971509972,0.8279352226720648,0.6985896828002092,0.8279352226720648
f1-score,0.0,0.8470444850700791,0.6790780141843973,0.8487131198995606,0.9915014164305949,0.8279352226720648,0.6732674071169263,0.7978624684835968
support,154.0,703.0,702.0,703.0,702.0,0.8279352226720648,2964.0,2964.0
