,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,0.6589928057553956,0.41846758349705304,0.4750830564784053,0.7292882147024504,0.5819838056680162,0.4563663320866609,0.5408164310008142
recall,0.0,0.65149359886202,0.3034188034188034,0.6102418207681366,0.8903133903133903,0.5819838056680162,0.4910935226724701,0.5819838056680162
f1-score,0.0,0.6552217453505007,0.3517753922378199,0.5342465753424657,0.8017960230917254,0.5819838056680162,0.4686079472045023,0.5553317688962537
support,154.0,703.0,702.0,703.0,702.0,0.5819838056680162,2964.0,2964.0
